date,district,pm10,pm25,month,day,season,pm_grade
2019-12-31,강남구,22,14,12,31,winter,good
2019-12-31,강동구,27,19,12,31,winter,good
2019-12-31,강북구,31,17,12,31,winter,normal
2019-12-31,강서구,29,16,12,31,winter,good
2019-12-31,관악구,36,18,12,31,winter,normal
2019-12-31,광진구,22,10,12,31,winter,good
2019-12-31,구로구,25,16,12,31,winter,good
2019-12-31,금천구,23,18,12,31,winter,good
2019-12-31,노원구,22,17,12,31,winter,good
2019-12-31,도봉구,19,12,12,31,winter,good
2019-12-31,동대문구,25,12,12,31,winter,good
2019-12-31,동작구,30,19,12,31,winter,good
2019-12-31,마포구,24,15,12,31,winter,good
2019-12-31,서대문구,23,9,12,31,winter,good
2019-12-31,서초구,27,13,12,31,winter,good
2019-12-31,성동구,25,16,12,31,winter,good
2019-12-31,성북구,26,12,12,31,winter,good
2019-12-31,송파구,26,18,12,31,winter,good
2019-12-31,양천구,29,17,12,31,winter,good
2019-12-31,영등포구,22,14,12,31,winter,good
2019-12-31,용산구,37,18,12,31,winter,normal
2019-12-31,은평구,24,13,12,31,winter,good
2019-12-31,종로구,27,19,12,31,winter,good
2019-12-31,중구,26,18,12,31,winter,good
2019-12-31,중랑구,23,12,12,31,winter,good
2019-12-30,강남구,35,25,12,30,winter,normal
2019-12-30,강동구,40,29,12,30,winter,normal
2019-12-30,강북구,37,25,12,30,winter,normal
2019-12-30,강서구,42,25,12,30,winter,normal
2019-12-30,관악구,38,24,12,30,winter,normal
2019-12-30,광진구,36,21,12,30,winter,normal
2019-12-30,구로구,33,27,12,30,winter,normal
2019-12-30,금천구,31,28,12,30,winter,normal
2019-12-30,노원구,32,27,12,30,winter,normal
2019-12-30,도봉구,28,20,12,30,winter,good
2019-12-30,동대문구,37,24,12,30,winter,normal
2019-12-30,동작구,42,29,12,30,winter,normal
2019-12-30,마포구,32,23,12,30,winter,normal
2019-12-30,서대문구,35,18,12,30,winter,normal
2019-12-30,서초구,40,27,12,30,winter,normal
2019-12-30,성동구,35,25,12,30,winter,normal
2019-12-30,성북구,37,24,12,30,winter,normal
2019-12-30,송파구,34,23,12,30,winter,normal
2019-12-30,양천구,40,28,12,30,winter,normal
2019-12-30,영등포구,33,23,12,30,winter,normal
2019-12-30,용산구,33,26,12,30,winter,normal
2019-12-30,은평구,35,22,12,30,winter,normal
2019-12-30,종로구,39,28,12,30,winter,normal
2019-12-30,중구,35,30,12,30,winter,normal
2019-12-30,중랑구,37,20,12,30,winter,normal
2019-12-29,강남구,43,29,12,29,winter,normal
2019-12-29,강동구,50,34,12,29,winter,normal
2019-12-29,강북구,47,29,12,29,winter,normal
2019-12-29,강서구,52,26,12,29,winter,normal
2019-12-29,관악구,49,29,12,29,winter,normal
2019-12-29,광진구,44,22,12,29,winter,normal
2019-12-29,구로구,48,31,12,29,winter,normal
2019-12-29,금천구,38,31,12,29,winter,normal
2019-12-29,노원구,38,30,12,29,winter,normal
2019-12-29,도봉구,39,22,12,29,winter,normal
2019-12-29,동대문구,45,25,12,29,winter,normal
2019-12-29,동작구,49,31,12,29,winter,normal
2019-12-29,마포구,42,27,12,29,winter,normal
2019-12-29,서대문구,41,17,12,29,winter,normal
2019-12-29,서초구,50,29,12,29,winter,normal
2019-12-29,성동구,43,29,12,29,winter,normal
2019-12-29,성북구,44,25,12,29,winter,normal
2019-12-29,송파구,43,26,12,29,winter,normal
2019-12-29,양천구,52,31,12,29,winter,normal
2019-12-29,영등포구,44,28,12,29,winter,normal
2019-12-29,용산구,40,30,12,29,winter,normal
2019-12-29,은평구,40,20,12,29,winter,normal
2019-12-29,종로구,45,30,12,29,winter,normal
2019-12-29,중구,45,33,12,29,winter,normal
2019-12-29,중랑구,44,21,12,29,winter,normal
2019-12-28,강남구,42,27,12,28,winter,normal
2019-12-28,강동구,49,31,12,28,winter,normal
2019-12-28,강북구,45,28,12,28,winter,normal
2019-12-28,강서구,49,23,12,28,winter,normal
2019-12-28,관악구,38,21,12,28,winter,normal
2019-12-28,광진구,44,20,12,28,winter,normal
2019-12-28,구로구,35,22,12,28,winter,normal
2019-12-28,금천구,34,24,12,28,winter,normal
2019-12-28,노원구,33,27,12,28,winter,normal
2019-12-28,도봉구,37,21,12,28,winter,normal
2019-12-28,동대문구,42,25,12,28,winter,normal
2019-12-28,동작구,43,26,12,28,winter,normal
2019-12-28,마포구,40,25,12,28,winter,normal
2019-12-28,서대문구,44,18,12,28,winter,normal
2019-12-28,서초구,48,27,12,28,winter,normal
2019-12-28,성동구,41,27,12,28,winter,normal
2019-12-28,성북구,46,25,12,28,winter,normal
2019-12-28,송파구,44,25,12,28,winter,normal
2019-12-28,양천구,48,27,12,28,winter,normal
2019-12-28,영등포구,41,25,12,28,winter,normal
2019-12-28,용산구,40,28,12,28,winter,normal
2019-12-28,은평구,40,20,12,28,winter,normal
2019-12-28,종로구,45,30,12,28,winter,normal
2019-12-28,중구,44,33,12,28,winter,normal
2019-12-28,중랑구,43,20,12,28,winter,normal
2019-12-27,강남구,31,23,12,27,winter,normal
2019-12-27,강동구,41,30,12,27,winter,normal
2019-12-27,강북구,37,27,12,27,winter,normal
2019-12-27,강서구,40,23,12,27,winter,normal
2019-12-27,관악구,39,23,12,27,winter,normal
2019-12-27,광진구,33,18,12,27,winter,normal
2019-12-27,구로구,30,22,12,27,winter,good
2019-12-27,금천구,29,26,12,27,winter,good
2019-12-27,노원구,33,30,12,27,winter,normal
2019-12-27,도봉구,28,19,12,27,winter,good
2019-12-27,동대문구,31,20,12,27,winter,normal
2019-12-27,동작구,38,26,12,27,winter,normal
2019-12-27,마포구,33,23,12,27,winter,normal
